Entity;Code;Year;Military Personel
China;CHN;1978;4500000
China;CHN;1979;4600000
China;CHN;1980;4650000
China;CHN;1981;4750000
China;CHN;1982;4350000
China;CHN;1983;4100000
China;CHN;1984;4100000
China;CHN;1985;4100000
China;CHN;1986;4030000
China;CHN;1987;3530000
China;CHN;1988;3780000
China;CHN;1989;3900000
China;CHN;1990;3500000
China;CHN;1991;3200000
China;CHN;1992;3160000
China;CHN;1993;3030000
China;CHN;1994;2930000
China;CHN;1995;2930000
China;CHN;1996;2650000
China;CHN;1997;2600000
China;CHN;1998;2600000
China;CHN;1999;2400000
China;CHN;2000;2810000
China;CHN;2001;2310000
China;CHN;2002;2270000
China;CHN;2003;2250000
China;CHN;2004;2253000
China;CHN;2005;2255000
China;CHN;2006;2255000
China;CHN;2007;2255000
China;CHN;2008;2105000
China;CHN;2009;2185000
China;CHN;2010;2285000
China;CHN;2011;2285000
China;CHN;2012;2285000
China;CHN;2013;2285000
China;CHN;2014;2333000
China;CHN;2015;2333000
China;CHN;2016;2333000