Nation;Year;Military_Personel
USA;1978;2060000
USA;1979;2033000
USA;1980;2050000
USA;1981;2101000
USA;1982;2168000
USA;1983;2201000
USA;1984;2222000
USA;1985;2244000
USA;1986;2269000
USA;1987;2280000
USA;1988;2250000
USA;1989;2240000
USA;1990;2180000
USA;1991;2110000
USA;1992;1920000
USA;1993;1810000
USA;1994;1710000
USA;1995;1620000
USA;1996;1570000
USA;1997;1530000
USA;1998;1510000
USA;1999;1490000
USA;2000;1366000
USA;2001;1368000
USA;2002;1414000
USA;2003;1427000
USA;2004;1450000
USA;2005;1474000
USA;2006;1546000
USA;2007;1506000
USA;2008;1498000
USA;2009;1540000
USA;2010;1580000
USA;2011;1564000
USA;2012;1569000
USA;2013;1520000
USA;2014;1492000
USA;2015;1433000
USA;2016;1381000